character,line
 Spider-Man,1
AKIHIKO,4
ALEXANDER PEIRCE,1
ALEXANDER PIERCE ,7
ASGARDIAN SOLDIER ,1
BOY,1
BRUCE BANNER,106
BRUCE ROGERS,1
BUCKY BARNES,4
CAROL DANVERS,15
CASSIE LANG,1
CLINT BARTON,56
COOPER BARTON,2
CORVUS GLAIVE,2
DOCTOR STRANGE,2
DRAX,2
EBONY MAW ,8
EDWIN JARVIS,1
ELEVATOR LADY,4
EVERYONE,1
F.R.I.D.A.Y.,7
FRIGGA ,22
GAMORA,21
GIRL,3
GROOT,1
HANK PYM,5
HAPPY,4
HOPE VAN DYNE,1
HOWARD STARK,25
HULK ,4
HYDRA AGENT,1
JAMES RHODES,1
JIM STARLIN,1
JOE RUSSO,3
KORG,8
LAURA BARTON,5
LILA BARTON,6
LOKI ,2
MANTIS,1
MORGAN STARK,17
NATASHA ROMANOFF,74
NATHANIEL BARTON,1
NEBULA,54
OKOYE,3
"OUR WATCHER INFORMANT, STAN LEE - R.I.P",1
PEPPER POTTS,15
PETER PARKER,11
PETER QUILL,3
QUILL,8
RED SKULL ,6
RHODEY,50
ROCKET,51
RONIN,3
RUMLOW ,2
SAM,1
SAM WILSON,16
SCOTT LANG,97
SECURITY OFFICER,4
SITWELL ,6
STEVE ROGERS,127
T'CHALLA,1
THANOS,40
THE ANCIENT ONE ,15
THE WASP,2
THOR,94
THUG #,1
TONY STARK,183
VALKYRIE,11
WANDA MAXIMOFF,4
WONG,1
