,character,line
0, Spider-Man, Far From Home
1,CLINT BARTON," Okay, hold on. Don't shoot. You see where you're going?"
2,LILA BARTON, Mhm.
3,CLINT BARTON," Okay, now let's worry about how you get there. "
4,CLINT BARTON, Here. Can you see?
5,LILA BARTON, Yeah.
6,CLINT BARTON, You sure?
7,LILA BARTON, Mhm. 
8,CLINT BARTON, How about now?
9,CLINT BARTON, Alright. Ready your fingers.
10,COOPER BARTON, Nice.
11,LAURA BARTON," Nice throw, kiddo."
12,COOPER BARTON, You go.
13,LAURA BARTON," Hey, you guys want mayo or mustard, or both? "
14,LILA BARTON, Who wants mayo on a hotdog?
15,CLINT BARTON, Probably your brothers.
16,CLINT BARTON," Uh, two mustard, please! Thanks, mama. "
17,LAURA BARTON, Mayo or mustard?
18,NATHANIEL BARTON, How about ketchup?
19,LAURA BARTON, Ketchup?  I can do ketchup.
20,CLINT BARTON," Mind your elbow.  Hahaha! Good job, Hawkeye. Go get your arrow."
21,LAURA BARTON," Hey guys! Enough practice, soup's on!"
22,CLINT BARTON," Alright, we're coming; we're hungry.  Hey, babe! Babe? Babe? Boys? Boys? Laura?"
23,NEBULA, Wrra! 
24,TONY STARK, You don't need to do that. Because uh... you're just holding position.  That's a goal. We're now one apiece.
25,NEBULA, I would like to try again. 
26,TONY STARK, We're tied up. Feel the tension? It's fun.
27,TONY STARK, That was terrible. Now you have a chance to win. 
28,TONY STARK, And... you've won. Congratulations. 
29,TONY STARK, Fair game. Good sport.  Have fun?
30,NEBULA, It was fun.
31,TONY STARK," This thing on?  But it's now dead in the water. We're 1000 light years from the nearest 7-11. Oxygen will run out tomorrow. And that'll be it. And Pep, I ... I know I said no more surprises, but I was really hoping to pull off one last one. But it looks like... well you know what it looks like. Don't feel bad about this. I mean, if you grovel for a couple of weeks, and then move on with enormous guilt. I should probably lie down. Please know that... when I drift off, I will think about you. Because it's always you."
32,TONY STARK, Couldn't stop him.
33,STEVE ROGERS, Neither could I.
34,TONY STARK, I lost the kid.
35,STEVE ROGERS," Tony, we lost."
36,TONY STARK," Is, uh...? "
37,PEPPER POTTS," Oh, my God! Oh, my God! "
38,TONY STARK, It's okay.
39,JAMES RHODES, It's been 23 days since Thanos came to Earth.
40,NATASHA ROMANOFF," World governments are in pieces. The parts that are still working are trying to take a census. And it looks like he did... he did exactly what he said he was gonna do. Thanos wiped out fifty percent, of all living creatures."
41,TONY STARK, Where is he now? Where?
42,STEVE ROGERS, We don't know. He just opened a portal and walked through.
43,TONY STARK, What's wrong with him?
44,ROCKET," Oh, he's pissed. He thinks he failed. Which of course he did, but you know there's a lot of that's going around, ain't there?"
45,TONY STARK," Honestly, until this exact second, I thought you were a Build-A-Bear."
46,ROCKET, Maybe I am.
47,STEVE ROGERS," We've been hunting Thanos for three weeks now. Deep Space scans, and satellites, and we got nothing. Tony, you fought him."
