,character,word,word_count
0, Spider-Man,far,1
1, Spider-Man,home,1
2,AKIHIKO,anything,2
3,AKIHIKO,crazy,1
4,AKIHIKO,die,1
5,AKIHIKO,give,1
6,AKIHIKO,help,1
7,AKIHIKO,hurt,1
8,AKIHIKO,i'll,1
9,AKIHIKO,never,1
10,AKIHIKO,people,1
11,AKIHIKO,wait,1
12,AKIHIKO,want,1
13,ALEXANDER PEIRCE,70,1
14,ALEXANDER PEIRCE,answer,1
15,ALEXANDER PEIRCE,case,1
16,ALEXANDER PEIRCE,gonna,2
17,ALEXANDER PEIRCE,he's,1
18,ALEXANDER PEIRCE,i'm,1
19,ALEXANDER PEIRCE,left,1
20,ALEXANDER PEIRCE,need,1
21,ALEXANDER PEIRCE,odin,1
22,ALEXANDER PEIRCE,oh,1
23,ALEXANDER PEIRCE,property,1
24,ALEXANDER PEIRCE,shield,1
25,ALEXANDER PEIRCE,that's,1
26,ALEXANDER PEIRCE,us,1
27,ALEXANDER PEIRCE,what's,1
28,ALEXANDER PEIRCE,years,1
29,ALEXANDER PIERCE ,air,1
30,ALEXANDER PIERCE ,ask,2
31,ALEXANDER PIERCE ,call,1
32,ALEXANDER PIERCE ,case,2
33,ALEXANDER PIERCE ,chest,1
34,ALEXANDER PIERCE ,convulsing,1
35,ALEXANDER PIERCE ,friends,1
36,ALEXANDER PIERCE ,give,2
37,ALEXANDER PIERCE ,going,1
38,ALEXANDER PIERCE ,gonna,1
39,ALEXANDER PIERCE ,he's,1
40,ALEXANDER PIERCE ,i'm,1
41,ALEXANDER PIERCE ,look,1
42,ALEXANDER PIERCE ,machine,1
43,ALEXANDER PIERCE ,may,1
44,ALEXANDER PIERCE ,medic,1
45,ALEXANDER PIERCE ,mr,1
46,ALEXANDER PIERCE ,need,1
47,ALEXANDER PIERCE ,okay,1
48,ALEXANDER PIERCE ,prisoner,1
49,ALEXANDER PIERCE ,secretary,1
50,ALEXANDER PIERCE ,stark,2
51,ALEXANDER PIERCE ,turn,1
52,ALEXANDER PIERCE ,you---,1
53,ASGARDIAN SOLDIER ,get,1
54,ASGARDIAN SOLDIER ,rabbit,1
55,BOY,danger,1
56,BOY,stranger,1
57,BRUCE BANNER,'cause,1
58,BRUCE BANNER,1,2
59,BRUCE BANNER,10,1
60,BRUCE BANNER,100%,1
61,BRUCE BANNER,1950's,1
62,BRUCE BANNER,2,2
63,BRUCE BANNER,3,2
64,BRUCE BANNER,absolute,1
65,BRUCE BANNER,actually,1
66,BRUCE BANNER,ago,3
67,BRUCE BANNER,ah,2
68,BRUCE BANNER,almost,1
69,BRUCE BANNER,alright,2
70,BRUCE BANNER,alternative,1
71,BRUCE BANNER,angry,1
72,BRUCE BANNER,area,1
73,BRUCE BANNER,around,1
74,BRUCE BANNER,asgard,1
75,BRUCE BANNER,asking,1
76,BRUCE BANNER,asses,1
77,BRUCE BANNER,away,2
78,BRUCE BANNER,back,6
79,BRUCE BANNER,bad,5
80,BRUCE BANNER,banner,1
81,BRUCE BANNER,beat,1
82,BRUCE BANNER,beaten,1
83,BRUCE BANNER,becomes,2
84,BRUCE BANNER,best,1
85,BRUCE BANNER,better,1
86,BRUCE BANNER,bleecker,1
87,BRUCE BANNER,blew,1
88,BRUCE BANNER,blow,1
89,BRUCE BANNER,brains,1
90,BRUCE BANNER,brawn,1
91,BRUCE BANNER,bring,3
92,BRUCE BANNER,buddy,1
93,BRUCE BANNER,bunch,1
94,BRUCE BANNER,came,1
95,BRUCE BANNER,can't,1
96,BRUCE BANNER,cap,1
97,BRUCE BANNER,careful,2
98,BRUCE BANNER,chance,1
99,BRUCE BANNER,change,1
100,BRUCE BANNER,changed,1
101,BRUCE BANNER,changing,1
102,BRUCE BANNER,chronologically,1
103,BRUCE BANNER,chronoshift,1
104,BRUCE BANNER,clint,2
105,BRUCE BANNER,come,3
106,BRUCE BANNER,comes,1
107,BRUCE BANNER,coming,1
108,BRUCE BANNER,compassion,1
109,BRUCE BANNER,confusing,1
110,BRUCE BANNER,could,2
111,BRUCE BANNER,count,1
112,BRUCE BANNER,crazy,1
113,BRUCE BANNER,cure,1
114,BRUCE BANNER,dab,1
115,BRUCE BANNER,days,2
116,BRUCE BANNER,different,2
117,BRUCE BANNER,differently,1
118,BRUCE BANNER,discombobulated,1
119,BRUCE BANNER,disease,1
120,BRUCE BANNER,do-over,1
121,BRUCE BANNER,doctor,2
122,BRUCE BANNER,done,2
123,BRUCE BANNER,door,1
124,BRUCE BANNER,due,1
125,BRUCE BANNER,eating,1
126,BRUCE BANNER,eggs,1
127,BRUCE BANNER,eighteen,1
128,BRUCE BANNER,end,1
129,BRUCE BANNER,engaged,1
130,BRUCE BANNER,enough,1
131,BRUCE BANNER,erase,1
132,BRUCE BANNER,everybody,1
133,BRUCE BANNER,everything,1
134,BRUCE BANNER,exact,1
135,BRUCE BANNER,except,1
136,BRUCE BANNER,expertise,1
137,BRUCE BANNER,feel,3
138,BRUCE BANNER,feels,1
139,BRUCE BANNER,fire,1
140,BRUCE BANNER,first,3
141,BRUCE BANNER,five,3
142,BRUCE BANNER,fix,1
143,BRUCE BANNER,former,1
144,BRUCE BANNER,four,1
145,BRUCE BANNER,front,1
146,BRUCE BANNER,future,3
147,BRUCE BANNER,gamma,2
148,BRUCE BANNER,gauntlet,1
149,BRUCE BANNER,gave,2
150,BRUCE BANNER,get,8
151,BRUCE BANNER,girl,1
152,BRUCE BANNER,give,1
153,BRUCE BANNER,go,1
154,BRUCE BANNER,going,4
155,BRUCE BANNER,gonna,4
156,BRUCE BANNER,good,2
157,BRUCE BANNER,got,3
158,BRUCE BANNER,gotta,1
159,BRUCE BANNER,gratuitous,1
160,BRUCE BANNER,great,2
161,BRUCE BANNER,grid,1
162,BRUCE BANNER,grow,1
163,BRUCE BANNER,guy,1
164,BRUCE BANNER,guys,2
165,BRUCE BANNER,half,1
166,BRUCE BANNER,happy,1
167,BRUCE BANNER,he'll,1
168,BRUCE BANNER,he's,1
169,BRUCE BANNER,hell,1
170,BRUCE BANNER,hello,1
171,BRUCE BANNER,helmet,1
172,BRUCE BANNER,help,2
173,BRUCE BANNER,helped,2
174,BRUCE BANNER,hey,6
175,BRUCE BANNER,history,2
176,BRUCE BANNER,hmm,1
177,BRUCE BANNER,hold,1
178,BRUCE BANNER,home,2
179,BRUCE BANNER,horrible,1
180,BRUCE BANNER,hour,1
181,BRUCE BANNER,huh,1
