character,line
ASGARDIAN PA,1
BRUCE BANNER,49
BUCKY BARNES,8
CHILD OF THANOS,1
COLLECTOR,5
CORVUS GLAIVE,3
CULL OBSIDIAN,2
DOCTOR STRANGE,57
DOME CONTROL,1
DRAX,28
EBONY MAW,19
EITRI,16
F.R.I.D.A.Y.,5
GAMORA,46
GAMORA'S MOTHER,1
GROOT,7
HEIMDALL,1
HULK,2
JABARI,1
JABARI WARRIORS,1
JAMES RHODES,17
KING T'CHALLA,16
LOKI,7
M'BAKU,3
MANTIS,17
MARIA HILL,6
MEMORY GAMORA,2
MEMORY NEBULA,2
NATASHA ROMANOFF,15
NEBULA,6
NED LEEDS,1
NICK FURY,8
OKOYE,11
PEPPER POTTS,22
PETER PARKER,46
PETER QUILL,85
PROXIMA MIDNIGHT,8
RED SKULL,6
ROCKET,48
SAM WILSON,9
"SCHOOL BUS DRIVER, STAN LEE",1
SECRETARY ROSS,8
SHURI,6
STEVE ROGERS,25
STONEKEEPER,4
T'CHALLA,2
THANOS,76
THOR,78
TONY STARK,128
TONY STARK AND DRAX,1
VISION,31
WANDA MAXIMOFF,31
WONG,10
YOUNG GAMORA,4
 WANDA MAXIMOFF,1
