,character,line
0,ASGARDIAN PA," This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard.  Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!"
1,EBONY MAW," Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos."
2,THANOS,"  It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say... I AM."
3,THOR,  You talk too much.
4,THANOS,"  The Tesseract, or your brother's head. I assume you have a preference."
5,LOKI," Oh, I do. Kill away!"
6,LOKI,"  ALL RIGHT, STOP!"
7,THOR, We don't have the Tesseract. It was destroyed on Asgard.
8,THOR, You really are the worst brother.
9,LOKI,"  I assure you, brother... the sun will shine on us again."
10,THANOS," Your optimism is misplaced, Asgardian."
11,LOKI," Well, for one thing, I'm not Asgardian. And for another... we have a Hulk."
12,EBONY MAW, Let him have his fun.
13,HEIMDALL,  Allfathers… let the dark magic flow through me one last... time.
14,THANOS, That was a mistake.
15,THOR, NO!!!  You're going to die for that!
16,EBONY MAW,  Shh.
17,EBONY MAW,"  My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp."
18,THANOS," There are two more Stones on Earth. Find them, my children, and bring them to me on Titan."
19,PROXIMA MIDNIGHT,"  Father, we will not fail you."
20,LOKI,"  If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena."
21,THANOS,  If you consider failure experience.
22,LOKI," I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity."
23,THANOS," ""Undying?"" You should choose your words more carefully."
24,LOKI, 
25,THOR,  NO!
26,THANOS,  No resurrections this time.
27,THOR, No… Loki….
28,DOCTOR STRANGE,  Seriously? You don't have any money?
29,WONG,  Attachment to the material is detachment from the spiritual.
30,DOCTOR STRANGE, I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye.
31,WONG," Oh, wait, wait, wait, I think I have 200."
32,DOCTOR STRANGE, Dollars?
33,WONG, Rupees.
34,DOCTOR STRANGE, Which is?
35,WONG," Uh, buck and a half."
36,DOCTOR STRANGE, What do you want?
37,WONG, I wouldn't say no to a tuna melt.
38,BRUCE BANNER, Thanos is coming. He's coming...
39,DOCTOR STRANGE,  Who?
40,TONY STARK," Slow down, slow down. I'm totally not kidding."
41,PEPPER POTTS,  You're totally rambling.
42,TONY STARK,"  No, I'm not."
43,PEPPER POTTS, Lost me.
44,TONY STARK," Look, you know how you're having a dream, and in the dream you gotta pee?"
45,PEPPER POTTS, Yeah.
46,TONY STARK," Okay, and then you're like, 'Oh my god, there's no bathroom, what am I gonna do?', 'Oh! Someone's watching,' ''m gonna go in my pants.'"
47,PEPPER POTTS," Right. And then you wake up, and in real life you actually have to pee."
48,TONY STARK, Yes.
49,PEPPER POTTS, Yeah. Everybody has that.
50,TONY STARK," Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?"
51,PEPPER POTTS,  Right.
52,TONY STARK, Morgan! Morgan.
53,PEPPER POTTS," So you woke up, and thought that we were..."
54,TONY STARK, Expecting.
55,PEPPER POTTS, Yeah.
56,TONY STARK,  Yes?
57,PEPPER POTTS,  No.
58,TONY STARK, I had a dream about it. It was so real.
59,PEPPER POTTS," If you wanted to have a kid, you wouldn't have done that."
60,TONY STARK," I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles."
61,PEPPER POTTS," It's not helping your case, OK?"
62,TONY STARK," No, no, it's an attachment, it's not a-"
63,PEPPER POTTS,  You don't need that.
64,TONY STARK," I know. I had the surgery. I'm just trying to protect us. The future usses, and that's it. Just in case there's a monster in the closet, instead of, you know..."
65,PEPPER POTTS, Shirts?
66,TONY STARK, You know me so well. You finish all my sentences.
67,PEPPER POTTS, You should have shirts in your closet.
68,TONY STARK, Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Win-stone. Right? And we should have no more surprises. Ever. I should promise you.
69,PEPPER POTTS, Yes.
70,TONY STARK, I will. 
71,DOCTOR STRANGE," Tony Stark, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way."
72,TONY STARK," I'm sorry, you giving out tickets or something?"
73,DOCTOR STRANGE,"We need your help. Look, it's not overselling to say that the fate of the universe is at stake."
74,TONY STARK," And who's ""we""?"
75,BRUCE BANNER,"  Hey, Tony."
76,TONY STARK,  Bruce.
77,BRUCE BANNER, Pepper.
78,PEPPER POTTS, Hi.
79,TONY STARK, You okay?
80,WONG,"  From the dawn of the universe, there was nothing. Then, boom! The Big Bang sent six elemental crystals, hurtling across the virgin universe. These Infinity Stones each control an essential aspect of existence."
81,DOCTOR STRANGE,  Space. Reality. Power. Soul. Mind. And Time.
82,TONY STARK,  Tell me his name again.
83,BRUCE BANNER," Thanos. He's a plague, Tony. He invades planets. He takes what he wants. He wipes out half the population. He sent Loki. The attack on New York. That's him."
84,TONY STARK,  This is it... What's our timeline?
85,BRUCE BANNER," No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe. If he gets his hands, on all six Stones, Tony..."
86,DOCTOR STRANGE, He can destroy life on a scale hitherto undreamt of.
87,TONY STARK,"  Did you seriously just say ""hitherto undreamt of""?"
88,DOCTOR STRANGE, Are you seriously leaning on the Cauldron of the Cosmos?
89,TONY STARK, Is that what this is.... ?
90,TONY STARK,"  I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?"
91,DOCTOR STRANGE, No can do.
92,WONG, We swore an oath to protect the Time Stone. With our lives.
93,TONY STARK," And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so...."
94,DOCTOR STRANGE, Stark Raving Hazelnuts.
95,TONY STARK, It's not bad.
96,DOCTOR STRANGE, A bit chalky.
97,WONG, A Hunka-Hulka Burning Fudge is our favorite.
98,BRUCE BANNER, That's a thing?
99,TONY STARK, things change.
100,DOCTOR STRANGE, Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos.
101,TONY STARK," And still conversely, it may also be his best chance against us."
102,DOCTOR STRANGE," Well, if we don't do our jobs."
103,TONY STARK,"  What is your job exactly, besides making balloon animals?"
104,DOCTOR STRANGE,"  Protecting your reality, douchebag."
105,BRUCE BANNER," Okay, guys, could we table this discussion right now? The fact is that we have this Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now."
106,TONY STARK,"  Yeah, that's the... thing."
107,BRUCE BANNER, What do you mean?
108,TONY STARK," Two weeks ago, Vision turned off his transponder. He's offline."
109,BRUCE BANNER," What? Tony, you lost another super bot?"
110,TONY STARK, I didn't lose him. He's more than that. He's evolving.
111,DOCTOR STRANGE," Who could find Vision, then?"
112,TONY STARK,  Probably Steve Rogers.
113,DOCTOR STRANGE,"  Oh, great."
114,TONY STARK, Maybe. But... 
115,BRUCE BANNER,  Call him.
116,TONY STARK," It's not that easy. God, we haven't caught up in a spell, have we?"
117,BRUCE BANNER, No.
118,TONY STARK, The Avengers broke up. We're toast.
119,BRUCE BANNER,  Broke up? Like a band? Like The Beatles?
120,TONY STARK, Cap and I fell out hard. We're not on speaking terms.
121,BRUCE BANNER,"  Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not."
122,TONY STARK," Say, Doc, you wouldn't happen to be moving your hair, would you?"
123,DOCTOR STRANGE,"  Not at the moment, no."
124,TONY STARK, You okay?
125,TONY STARK," Help him! Wong, Doc."
126,BRUCE BANNER, Go! Got it!
127,TONY STARK,"  F.R.I.D.A.Y., what am I looking at?"
128,F.R.I.D.A.Y.," Not sure, I'm working on it."
129,TONY STARK," Hey! You might wanna put that Time Stone in your back pocket, Doc!"
130,DOCTOR STRANGE,  Might wanna use it.
131,PETER PARKER,"  Ned, hey. I need you to cause a distraction."
132,NED LEEDS,  Holy shit! We're all gonna die! There's a spaceship!
133,"SCHOOL BUS DRIVER, STAN LEE", What's the matter with you kids? You've never seen a spaceship before?
134,TONY STARK," F.R.I.D.A.Y., evac anyone south of 43rd Street, notify first responders."
135,F.R.I.D.A.Y., Will do.
136,EBONY MAW," Hear me, and rejoice. You are about to die at the hands of the Children of Thanos. Be thankful, that your meaningless lives are now contributing to..."
137,TONY STARK,"  I'm sorry, Earth is closed today. You better pack it up and get outta here."
138,EBONY MAW,  Does this chattering animal speak for you?
139,DOCTOR STRANGE, Certainly not. I speak for myself. 
140,TONY STARK," It means get lost, Squidward!"
