,character,word,word_count
0,ASGARDIAN PA,-,1
1,ASGARDIAN PA,22,1
2,ASGARDIAN PA,aid,1
3,ASGARDIAN PA,asgard,1
4,ASGARDIAN PA,asgardian,2
5,ASGARDIAN PA,assault,2
6,ASGARDIAN PA,crew,1
7,ASGARDIAN PA,dead,1
8,ASGARDIAN PA,engines,1
9,ASGARDIAN PA,failing,1
10,ASGARDIAN PA,families,1
11,ASGARDIAN PA,jump,1
12,ASGARDIAN PA,life,1
13,ASGARDIAN PA,made,1
14,ASGARDIAN PA,points,1
15,ASGARDIAN PA,range,1
16,ASGARDIAN PA,refugee,1
17,ASGARDIAN PA,repeat,2
18,ASGARDIAN PA,requesting,1
19,ASGARDIAN PA,soldiers,1
20,ASGARDIAN PA,statesman,1
21,ASGARDIAN PA,support,1
22,ASGARDIAN PA,vessel,2
23,ASGARDIAN PA,warcraft,2
24,ASGARDIAN PA,within,1
25,BRUCE BANNER,"""no""",1
26,BRUCE BANNER,aaaahhhhh,1
27,BRUCE BANNER,ah-hahaha,1
28,BRUCE BANNER,ahhhhh,1
29,BRUCE BANNER,already,2
30,BRUCE BANNER,another,2
31,BRUCE BANNER,ant-man,1
32,BRUCE BANNER,army,1
33,BRUCE BANNER,assault,1
34,BRUCE BANNER,asshole,1
35,BRUCE BANNER,attach,1
36,BRUCE BANNER,attack,1
37,BRUCE BANNER,back,1
38,BRUCE BANNER,backup,1
39,BRUCE BANNER,bad,1
40,BRUCE BANNER,band,1
41,BRUCE BANNER,beatles,1
42,BRUCE BANNER,behind,1
43,BRUCE BANNER,best,1
44,BRUCE BANNER,big,2
45,BRUCE BANNER,biggest,1
46,BRUCE BANNER,bot,1
47,BRUCE BANNER,bow,1
48,BRUCE BANNER,broke,1
49,BRUCE BANNER,call,2
50,BRUCE BANNER,can't,1
51,BRUCE BANNER,cap,2
52,BRUCE BANNER,choice,1
53,BRUCE BANNER,circle,1
54,BRUCE BANNER,clint,1
55,BRUCE BANNER,come,8
56,BRUCE BANNER,coming,3
57,BRUCE BANNER,complex,1
58,BRUCE BANNER,concentrate,1
59,BRUCE BANNER,construct,1
60,BRUCE BANNER,could,1
61,BRUCE BANNER,crap,1
62,BRUCE BANNER,creature,1
63,BRUCE BANNER,damn,1
64,BRUCE BANNER,deck,1
65,BRUCE BANNER,discussion,1
66,BRUCE BANNER,either,1
67,BRUCE BANNER,ever,1
68,BRUCE BANNER,expect,1
69,BRUCE BANNER,fact,1
70,BRUCE BANNER,figure,1
71,BRUCE BANNER,find,1
72,BRUCE BANNER,get,2
73,BRUCE BANNER,gets,2
74,BRUCE BANNER,go,1
75,BRUCE BANNER,going,2
76,BRUCE BANNER,gone,1
77,BRUCE BANNER,gonna,2
78,BRUCE BANNER,good,1
79,BRUCE BANNER,got,3
80,BRUCE BANNER,great,1
81,BRUCE BANNER,green,1
82,BRUCE BANNER,guys,3
83,BRUCE BANNER,gyah,1
84,BRUCE BANNER,half,1
85,BRUCE BANNER,hands,2
86,BRUCE BANNER,havin',1
87,BRUCE BANNER,he's,2
88,BRUCE BANNER,heh,1
89,BRUCE BANNER,hey,1
90,BRUCE BANNER,hulk,4
91,BRUCE BANNER,hulk--,1
92,BRUCE BANNER,i'll,1
93,BRUCE BANNER,i'm,7
94,BRUCE BANNER,invades,1
95,BRUCE BANNER,j,1
96,BRUCE BANNER,kicked,1
97,BRUCE BANNER,know,3
98,BRUCE BANNER,learning,1
99,BRUCE BANNER,left,1
100,BRUCE BANNER,like,3
101,BRUCE BANNER,listen,1
102,BRUCE BANNER,loki,1
103,BRUCE BANNER,look,1
104,BRUCE BANNER,look…,1
105,BRUCE BANNER,lost,1
106,BRUCE BANNER,lot,2
107,BRUCE BANNER,made,1
108,BRUCE BANNER,make,1
109,BRUCE BANNER,makes,1
110,BRUCE BANNER,man,1
111,BRUCE BANNER,many,1
112,BRUCE BANNER,matter,1
113,BRUCE BANNER,mean,2
114,BRUCE BANNER,might,1
115,BRUCE BANNER,mind,2
116,BRUCE BANNER,mixed,1
117,BRUCE BANNER,nat,1
118,BRUCE BANNER,need,2
119,BRUCE BANNER,needs,1
120,BRUCE BANNER,neuron,1
121,BRUCE BANNER,new,2
122,BRUCE BANNER,non-sequentially,1
123,BRUCE BANNER,nothing,1
124,BRUCE BANNER,oh,3
125,BRUCE BANNER,okay,5
126,BRUCE BANNER,one,2
127,BRUCE BANNER,overlays,1
128,BRUCE BANNER,pal,2
129,BRUCE BANNER,parts,1
130,BRUCE BANNER,pepper,1
131,BRUCE BANNER,perhaps,1
132,BRUCE BANNER,perimeter,1
133,BRUCE BANNER,plague,1
134,BRUCE BANNER,planets,1
135,BRUCE BANNER,population,1
136,BRUCE BANNER,power,1
137,BRUCE BANNER,quite,1
138,BRUCE BANNER,r,1
139,BRUCE BANNER,really,1
140,BRUCE BANNER,right,2
141,BRUCE BANNER,saying,1
142,BRUCE BANNER,scott,1
143,BRUCE BANNER,screw,1
144,BRUCE BANNER,screwed,1
145,BRUCE BANNER,second,1
146,BRUCE BANNER,see,1
147,BRUCE BANNER,sent,1
148,BRUCE BANNER,sir,1
149,BRUCE BANNER,six,1
150,BRUCE BANNER,somewhere,1
151,BRUCE BANNER,sorry,1
152,BRUCE BANNER,sort,1
153,BRUCE BANNER,space,1
154,BRUCE BANNER,spider-man,1
155,BRUCE BANNER,still,1
156,BRUCE BANNER,stone,5
157,BRUCE BANNER,stones,2
158,BRUCE BANNER,stop,1
159,BRUCE BANNER,strongest,1
160,BRUCE BANNER,suit's,1
161,BRUCE BANNER,super,1
162,BRUCE BANNER,table,1
163,BRUCE BANNER,take,1
164,BRUCE BANNER,takes,1
165,BRUCE BANNER,talking,1
166,BRUCE BANNER,telling,1
167,BRUCE BANNER,thanos,4
168,BRUCE BANNER,that's,3
169,BRUCE BANNER,there's,3
170,BRUCE BANNER,there’s,1
171,BRUCE BANNER,thing,2
172,BRUCE BANNER,things,1
173,BRUCE BANNER,think,3
174,BRUCE BANNER,thor's,1
175,BRUCE BANNER,together,1
176,BRUCE BANNER,tony,8
177,BRUCE BANNER,trying,1
178,BRUCE BANNER,uh,3
179,BRUCE BANNER,ultron,1
180,BRUCE BANNER,universe,2
181,BRUCE BANNER,us,1
182,BRUCE BANNER,v,1
183,BRUCE BANNER,vision,4
184,BRUCE BANNER,vision's,1
185,BRUCE BANNER,want,1
186,BRUCE BANNER,wants,1
187,BRUCE BANNER,we've,1
188,BRUCE BANNER,where'd,1
189,BRUCE BANNER,where's,1
190,BRUCE BANNER,who's,1
191,BRUCE BANNER,whole,2
192,BRUCE BANNER,wipes,1
193,BRUCE BANNER,won't--,1
194,BRUCE BANNER,ya,1
195,BRUCE BANNER,yeah,1
196,BRUCE BANNER,york,2
197,BUCKY BARNES,100-year-old,1
198,BUCKY BARNES,bad,1
199,BUCKY BARNES,end,1
200,BUCKY BARNES,fight,1
201,BUCKY BARNES,god,1
202,BUCKY BARNES,hell,1
203,BUCKY BARNES,love,1
204,BUCKY BARNES,man,1
205,BUCKY BARNES,place,1
206,BUCKY BARNES,sale,1
207,BUCKY BARNES,semi-stable,1
208,BUCKY BARNES,steve,1
209,BUCKY BARNES,surrender,1
210,BUCKY BARNES,uh,1
211,BUCKY BARNES,where's,1
212,BUCKY BARNES,world,1
213,COLLECTOR,know,1
214,COLLECTOR,lie,1
215,COLLECTOR,like,1
216,COLLECTOR,magnificent,3
217,COLLECTOR,sold,1
218,COLLECTOR,suicide,1
219,COLLECTOR,told,1
220,COLLECTOR,would,1
221,CORVUS GLAIVE,can't,1
222,CORVUS GLAIVE,dying,1
223,CORVUS GLAIVE,formidable,1
224,CORVUS GLAIVE,give,1
225,CORVUS GLAIVE,like,1
226,CORVUS GLAIVE,lives,1
227,CORVUS GLAIVE,machine,1
228,CORVUS GLAIVE,man,1
229,CORVUS GLAIVE,stone,1
230,CORVUS GLAIVE,thought,1
231,DOCTOR STRANGE,"""",1
232,DOCTOR STRANGE,"""thanos",1
233,DOCTOR STRANGE,000,1
234,DOCTOR STRANGE,14,1
235,DOCTOR STRANGE,605,1
236,DOCTOR STRANGE,alright,1
237,DOCTOR STRANGE,alternate,1
238,DOCTOR STRANGE,around,1
239,DOCTOR STRANGE,arts,1
240,DOCTOR STRANGE,banner,1
241,DOCTOR STRANGE,best,1
242,DOCTOR STRANGE,bit,1
243,DOCTOR STRANGE,blasting,1
244,DOCTOR STRANGE,bring,1
245,DOCTOR STRANGE,brought,1
246,DOCTOR STRANGE,can't,2
247,DOCTOR STRANGE,cannot,1
248,DOCTOR STRANGE,cauldron,1
249,DOCTOR STRANGE,certainly,1
250,DOCTOR STRANGE,chalky,1
251,DOCTOR STRANGE,chance,1
252,DOCTOR STRANGE,change,1
253,DOCTOR STRANGE,circumstance,1
254,DOCTOR STRANGE,come,1
255,DOCTOR STRANGE,comes,1
256,DOCTOR STRANGE,coming,1
257,DOCTOR STRANGE,conflict,1
258,DOCTOR STRANGE,confused,1
259,DOCTOR STRANGE,congratulations,2
260,DOCTOR STRANGE,cosmos,1
261,DOCTOR STRANGE,could,1
262,DOCTOR STRANGE,dead,1
263,DOCTOR STRANGE,deli,1
264,DOCTOR STRANGE,depends,1
265,DOCTOR STRANGE,destroy,1
266,DOCTOR STRANGE,die,1
267,DOCTOR STRANGE,doctor,1
268,DOCTOR STRANGE,dollars,1
269,DOCTOR STRANGE,douchebag,1
270,DOCTOR STRANGE,dr,2
271,DOCTOR STRANGE,either,1
272,DOCTOR STRANGE,else,1
273,DOCTOR STRANGE,endgame,1
274,DOCTOR STRANGE,equal,1
275,DOCTOR STRANGE,everyone,1
276,DOCTOR STRANGE,face-to-face,1
277,DOCTOR STRANGE,fate,2
278,DOCTOR STRANGE,find,3
279,DOCTOR STRANGE,fit,1
280,DOCTOR STRANGE,forward,1
281,DOCTOR STRANGE,friend,1
282,DOCTOR STRANGE,futures,1
283,DOCTOR STRANGE,genocide,1
284,DOCTOR STRANGE,get,1
285,DOCTOR STRANGE,give,1
286,DOCTOR STRANGE,go,1
287,DOCTOR STRANGE,gotta,1
288,DOCTOR STRANGE,great,1
289,DOCTOR STRANGE,green,1
290,DOCTOR STRANGE,guess,1
291,DOCTOR STRANGE,guys,1
292,DOCTOR STRANGE,ham,1
293,DOCTOR STRANGE,hazelnuts,1
294,DOCTOR STRANGE,head,1
295,DOCTOR STRANGE,helmet,1
296,DOCTOR STRANGE,help,1
297,DOCTOR STRANGE,hesitate,1
298,DOCTOR STRANGE,hitherto,1
299,DOCTOR STRANGE,home,2
300,DOCTOR STRANGE,i'll,1
301,DOCTOR STRANGE,i'm,3
302,DOCTOR STRANGE,jobs,1
303,DOCTOR STRANGE,joining,1
304,DOCTOR STRANGE,kid,1
305,DOCTOR STRANGE,know,1
306,DOCTOR STRANGE,leaning,1
307,DOCTOR STRANGE,let,2
308,DOCTOR STRANGE,life,3
309,DOCTOR STRANGE,look,1
310,DOCTOR STRANGE,make,1
311,DOCTOR STRANGE,man's,1
312,DOCTOR STRANGE,master,2
313,DOCTOR STRANGE,may,2
314,DOCTOR STRANGE,maybe,1
315,DOCTOR STRANGE,metaphysical,1
316,DOCTOR STRANGE,might,1
317,DOCTOR STRANGE,mind,1
318,DOCTOR STRANGE,moment,1
319,DOCTOR STRANGE,money,1
320,DOCTOR STRANGE,much,1
321,DOCTOR STRANGE,murder,1
322,DOCTOR STRANGE,mystic,1
323,DOCTOR STRANGE,nearly,1
324,DOCTOR STRANGE,need,2
325,DOCTOR STRANGE,oath,1
326,DOCTOR STRANGE,oh,3
327,DOCTOR STRANGE,one,1
328,DOCTOR STRANGE,outcomes,1
329,DOCTOR STRANGE,overselling,1
330,DOCTOR STRANGE,possible,1
331,DOCTOR STRANGE,power,1
332,DOCTOR STRANGE,prophet,1
333,DOCTOR STRANGE,protect,2
334,DOCTOR STRANGE,protecting,1
335,DOCTOR STRANGE,quite,2
336,DOCTOR STRANGE,raving,1
337,DOCTOR STRANGE,reality,2
338,DOCTOR STRANGE,regret,1
339,DOCTOR STRANGE,relationship,1
340,DOCTOR STRANGE,removing,1
341,DOCTOR STRANGE,rest,1
342,DOCTOR STRANGE,right,1
343,DOCTOR STRANGE,rye,1
344,DOCTOR STRANGE,saving,1
345,DOCTOR STRANGE,say,1
346,DOCTOR STRANGE,scale,1
347,DOCTOR STRANGE,see,1
348,DOCTOR STRANGE,seriously,3
